ticker,total_assets,total_revenue,net_income,long_term_debt,stockholders_equity,operating_income,cash_and_equivalents,public_float,employee_count,debt_to_assets,profit_margin,return_on_equity,log_total_assets,log_total_revenue,log_long_term_debt,log_cash_and_equivalents,log_public_float,log_stockholders_equity,log_employee_count
AKTX,,,,,,,,,,,,,,,,,,,
AKU,665052000.0,245626000.0,-36741000.0,389986000.0,80832000.0,24977000.0,23389000.0,140500000.0,,0.5863992590053109,-0.14958107040785584,-0.4545353325415677,20.315375792555383,19.319320615897563,19.781621401571936,16.96777642708817,18.760718053855513,18.207883497063637,
AKUS,333350000.0,,-48600000.0,,-32801000.0,-48880000.0,68932000.0,298528331.0,,,,1.4816621444468157,19.624703550028194,,,18.048631083890655,19.514375400865692,-17.30596959118138,
AKYA,77660000.0,42443000.0,-16706000.0,34520000.0,-30159000.0,-12011000.0,17006000.0,319900000.0,,0.4445016739634303,-0.393610253752091,0.5539308332504393,18.167850895144436,17.563672580802947,17.357049453148214,16.64907683973065,19.583519008045723,-17.221993977213263,
ALB,10450946000.0,3128909000.0,375764000.0,2394239000.0,5625266000.0,505812000.0,,24500000000.0,,0.22909304095533553,0.12009425649643374,0.06679933002279359,23.069958337671448,21.863950218755797,21.59633127243251,,23.921938954537907,22.45053407298547,
ALBO,285607000.0,8308000.0,-107633000.0,,93161000.0,-96271000.0,251272000.0,672700000.0,,,-12.955344246509389,-1.1553439744098926,19.47012730143458,15.932729584344045,,19.34204657967302,20.32681002448238,18.349839747877603,
ALCO,423937000.0,11005000.0,37833000.0,,216341000.0,45214000.0,3163000.0,156821017.0,,,3.437800999545661,0.1748766992849252,19.86509541960958,16.213860363810483,,14.967031818443285,18.87061570026492,19.19236642913177,
ALDX,83352503.0,,-37553729.0,16042500.0,48082317.0,-36421020.0,77858311.0,648685384.0,,0.1924657259542644,,-0.7810299366397007,18.238589208701427,,16.590752070941228,18.17040121997322,20.290458388254752,17.688425058343576,
ALEC,488251000.0,21219000.0,-105385000.0,,-97398000.0,-114404000.0,89641000.0,1192500000.0,,,-4.966539422215939,1.0820037372430646,20.00634017789817,16.87040761181381,,18.31132337372443,20.899317781565344,-18.39431624478819,
ALGM,817821000.0,650089000.0,36971000.0,43000000.0,633182000.0,52828000.0,99743000.0,1300000000.0,,0.05257874278112203,0.05687067463070441,0.05838921510718877,20.522154045437922,20.292619836096023,17.57671069691365,18.418107445859004,20.985630102183134,20.266268460109128,
ALGN,4829683000.0,2406796000.0,442776000.0,,1252891000.0,542493000.0,960843000.0,34700000000.0,,,0.18396906094243134,0.3534034485042993,22.298046671194125,21.601562239766793,,20.68332158314071,24.27000552392804,20.948719518653473,
ALGS,265302000.0,0.0,-108543000.0,,-64891000.0,-97834000.0,220383000.0,25583489.0,,,,1.672697292382611,19.39637936148435,0.0,,19.21087750431934,17.057457779523222,-17.988219512584088,
ALGT,3991073000.0,990073000.0,-184093000.0,,883551000.0,-280985000.0,363378000.0,1700000000.0,,,-0.18593881461265988,-0.20835582779035958,22.107325954251387,20.713289236758207,,19.710954175495143,21.253894088596816,20.599459574147357,
ALIM,50855000.0,50820000.0,-5339000.0,,-4445000.0,-501000.0,11208000.0,59501651.0,,,-0.10505706414797324,1.2011248593925758,17.744489023705583,17.743800555533586,,16.23213845622096,17.901514634836307,-15.307290651901996,
ALK,14046000000.0,8781000000.0,769000000.0,3495000000.0,3751000000.0,1063000000.0,221000000.0,7500000000.0,,0.24882528833831696,0.0875754469878146,0.2050119968008531,23.365603494754435,22.89585613343815,21.974599212918307,19.213673264006914,22.73816885762201,22.045288308312756,
ALKS,1949730000.0,1170947000.0,-196620000.0,,1171285000.0,-175479000.0,272961000.0,3918149321.0,,,-0.1679153710629089,-0.16786691539633822,21.390956738909814,20.88107866093057,,19.42483948946485,22.088885267534256,20.881367274528248,
ALKT,249166000.0,73541000.0,-41869000.0,24879000.0,-153857000.0,-42535000.0,166790000.0,972700000.0,,0.0998490965862116,-0.5693286738010089,0.2721293148833007,19.333629902985532,18.113353645384688,17.02953467229599,18.932246100048918,20.695586268867736,-18.851534164059352,
ALL,125987000000.0,41541000000.0,4847000000.0,7825000000.0,25998000000.0,,,38210000000.0,,0.062109582734726596,0.11667990659830048,0.1864374182629433,25.559444563979785,24.449946728311172,22.780589573500425,,24.366363098431393,23.981285448970702,
ALLE,2967200000.0,2854000000.0,401800000.0,,829400000.0,565100000.0,480400000.0,12500000000.0,,,0.14078486334968465,0.4844465878948638,21.810884584476675,21.771987356351442,,19.990129650251703,23.248994481334666,20.536213106982245,
