ticker,business_word_count,business_sentence_count_full,business_avg_sentence_length,business_fk_grade,business_quant_density,risk_factors_word_count,risk_factors_sentence_count_full,risk_factors_avg_sentence_length,risk_factors_fk_grade,risk_factors_quant_density,mda_word_count,mda_sentence_count_full,mda_avg_sentence_length,mda_fk_grade,mda_quant_density,business_is_long,risk_factors_is_long,mda_is_long,mda_is_quantitative,total_word_count,mean_fk_grade
BDX,1156,27,336.85185185185185,22.671656548135307,16.43598615916955,11939,349,231.2406876790831,17.35650219658851,8.62718820671748,20537,491,290.3727087576375,17.17591089704487,44.89458051322004,0,0,1,0,33632,19.068023213922896
BIIB,3387,59,398.40677966101697,15.525846218431273,46.944198405668736,30014,737,284.1940298507463,15.885699313846533,15.092956620243887,38350,869,307.6662830840046,16.82535844638267,32.28161668839635,0,1,1,0,71751,16.078967992886827
BIO,3222,105,214.67619047619047,17.25253924405759,15.828677839851025,9064,239,251.30962343096235,17.450391452654134,7.06090026478376,6737,180,244.97222222222223,14.486865461336048,50.17069912423928,0,0,0,0,19023,16.396598719349257
BK,1021,26,271.7307692307692,17.7296220958257,14.691478942213516,28,2,85.5,16.35481481481482,0.0,52,2,158.5,25.793846153846157,153.84615384615387,0,0,0,1,1101,19.959427688162226
BKNG,6130,167,251.77245508982037,17.3349262700825,13.213703099510603,20695,505,273.87722772277226,20.538325612925096,5.21865184827253,14510,356,269.3370786516854,17.07162246022722,53.89386629910407,0,1,1,0,41335,18.314958114411606
BMY,8648,245,264.25714285714287,18.164361147670437,20.351526364477337,16201,399,276.4736842105263,18.0972399445215,9.62903524473798,42832,1038,291.65510597302506,18.33502944636938,30.117669032499066,1,1,1,0,67681,18.198876846187105
BR,9811,283,250.2226148409894,19.161652164577237,7.338701457547651,6923,159,291.54088050314465,19.095276220799615,5.34450382782031,11478,273,291.3260073260073,14.945551577050722,79.19498170412965,1,0,1,1,28212,17.73415998747586
BRO,7404,343,145.5597667638484,15.818071098231478,33.630470016207454,7511,212,238.8679245283019,20.214531388026106,11.849287711356677,10712,259,267.72586872586874,13.665591613702023,119.49215832710979,1,0,1,1,25627,16.566064699986537
BSX,10381,286,256.34265734265733,20.027749444177108,13.293517002215587,13402,306,298.73202614379085,22.258026065137674,5.745411132666766,39122,967,278.78903826266804,20.02766228556251,30.749961658401922,1,1,1,0,62905,20.771145931625764
BWA,5255,162,233.96296296296296,16.43184397399283,56.89819219790675,7093,199,242.09547738693468,17.253576405758242,8.881996334414211,11365,308,249.52597402597402,14.292375038153114,80.95028596568412,0,0,1,1,23713,15.99259847263473
